Source,Target,Weight
Famous,Tourism,0.843599558
Aewol,Sightseeing,0.843568027
Jungmun tourism complex,Mood,0.843442976
Photo,Autumn,0.843312263
Course,Summer,0.843289435
Airplane,Park,0.843241453
Travel,Hotel,0.843215406
Seogwipo,Hot Pot,0.842928767
Hallasan mountain,WaterFall,0.842761099
Cutlassfish,Emotion,0.842638016
Seaside,Sky,0.842609763
Cutlassfish,Braised cutlassfish,0.842574656
People,Abalone,0.842568398
Airplane,Grilled dish,0.842460632
Recommendation,Sashimi restaurant,0.842428386
Photo,Seongsan,0.842342138
Price,Experience,0.842164636
Seaside,Hot Pot,0.842154562
Museum,House,0.842090428
Popular restaurant,Ready,0.841970682
Airplane,Entrance,0.841953814
Meat,Aewol,0.841946542
Thinking,Reservation,0.841825902
Coast,Tourism,0.841707289
Spot,Entrance,0.841339767
Village,Tree,0.841305614
Course,Coffee,0.841300368
Emotion,Name,0.841201067
Spot,Emotion,0.841136813
Thinking,Emotion,0.841058075
Spot,Autumn,0.841057777
Wind,Spot,0.840973973
Abalone,Sashimi restaurant,0.840752363
Seogwipo,Visit,0.840612233
Abalone,Ready,0.84058702
Tree,Entrance,0.840464413
Dinner,Famous,0.840134382
Jeju Island,Restaurant,0.840100586
Course,Meal,0.839953721
Visit,Park,0.839946687
Photo,Ilchulbong,0.83990705
Order,Dinner,0.839692295
Braised cutlassfish,Tourism,0.839665413
Order,Family,0.839645207
Restaurant,Hot Pot,0.839586318
Tree,Resort,0.839430869
Jeju city,Airplane,0.839144707
Accomodation,Tree,0.839012861
Braised cutlassfish,Ready,0.838781655
Appearance,Weather,0.838745415
Sea,Emotion,0.838665724
Wind,Park,0.838663459
Park,Entrance,0.838637352
Popular restaurant,Resort,0.838580608
Course,Aewol,0.838200331
Recommendation,House,0.838088512
Popular restaurant,Meal,0.837956846
Airport,Sightseeing,0.837897182
Jeju city,Tourism,0.837840557
Meal,Seogwipo,0.837735653
Cafe,Famous,0.837630868
Emotion,WaterFall,0.837616503
Price,Entrance,0.837384522
Sashimi restaurant,Entrance,0.83735168
Airport,Braised cutlassfish,0.837285399
Course,Woman diver,0.837237
Tree,Introduction,0.837179303
Abalone,Recommendation,0.837173283
Village,Space,0.836921096
Course,Cutlassfish,0.836865485
Park,Autumn,0.836847126
Sky,Park,0.836555064
Emotion,Summer,0.836538732
Beach,Braised cutlassfish,0.836455107
Sea,Entrance,0.836422324
Course,Autumn,0.836393297
Hallasan mountain,Braised cutlassfish,0.836262584
Scenery,Park,0.836224318
Dinner,Emotion,0.836203396
