Source,Target,Weight
Health,Civil complaint,0.792095304
Love,Program,0.791762471
Rural,Volunteer,0.791598737
Photo,Capital,0.791414142
Capital,Price,0.791257977
Land,Designation,0.79102242
School,Representative,0.790706992
Baekje,Gongsanseong fortress,0.790502191
Apartment,Provide,0.790428519
Gyeryongsan mountain,History,0.790410757
Gongju,School,0.790307164
Environment,Evaluation,0.790215492
Visit,Family,0.790006578
Volunteer,Love,0.789838612
Event,Program,0.789663494
Village,Seoul,0.78965205
Space,Evaluation,0.789617419
Shingwan-dong,Bicycle,0.789599001
Participation,Center,0.789503932
Tourism,History,0.78887856
Culture,Family,0.788671374
Land,Environment,0.788638532
Capital,possibility,0.788529932
Experience,Program,0.788435996
Daejeon,Seoul,0.78840673
Travel,Location,0.788287997
Life,Health,0.788141251
Chungcheongnam-do,Travel,0.788118958
Center,Happiness,0.788070261
Capital,Development,0.78686583
Health,Selection,0.786801517
Development,Use,0.786768019
Management,District,0.786753416
Travel,Use,0.786732495
Schedule,Restaurant,0.786619604
Capital,History,0.78642267
Resident,Visit,0.786324143
Happiness,Public official,0.786310554
Gyeryongsan mountain,Utilization,0.786271513
Society,School,0.786007881
Competition,Representative,0.785942852
Museum,Interior,0.785910428
Progress,Apartment,0.785817504
Location,Bicycle,0.785560369
Gongsanseong fortress,Park,0.78485775
Center,Civil complaint,0.784643173
Welfare,Center,0.784460306
Volunteer,Happiness,0.784452021
Welfare,Happiness,0.784105659
City,Happiness,0.783776879
Center,Afternoon,0.783662736
Target,Program,0.783635199
Interior,Provide,0.783514559
Tourism,Creation,0.783489585
Happiness,Interior,0.783350945
Chungcheongnam-do,Seoul,0.783190966
Gyeryongsan mountain,Shingwan-dong,0.782832384
City,Bicycle,0.782346308
Management,Price,0.782313645
Provide,Civil complaint,0.782276332
Progress,Visit,0.782272637
Education,Selection,0.782255411
City councilor,Civil complaint,0.782158911
Society,Resource,0.781996965
Gyeryongsan mountain,Park,0.781818926
Culture,Happiness,0.781772792
Restaurant,Afternoon,0.78172791
Park,School,0.781714797
Gyeryongsan mountain,Geumgang river,0.781707227
Service,Apartment,0.781622946
Management,Banpo-myeon,0.781605721
Education,Safety,0.781566501
Event,Schedule,0.781566381
Journalist,Provide,0.781464458
Culture,Visit,0.78126061
Welfare,Visit,0.781104207
Culture,Baekje,0.781040907
Service,Afternoon,0.781017005
Market,Program,0.780682087
Gyeryongsan mountain,Road,0.780599833
Village,Love,0.780594826
Gyeryongsan mountain,Era,0.780572593
Business,Happiness,0.780516386
Nature,Environment,0.780409276
Rural,Visit,0.780206978
Target,Information,0.780199468
School,Schedule,0.780169785
Plan,Civil complaint,0.780168176
Plan,City councilor,0.780068398
Space,Apartment,0.779869974
History,Location,0.779848576
possibility,Use,0.779839694
Capital,Installation,0.779754102
possibility,Bicycle,0.779502511
Resource,Selection,0.779427111
Public official,Restaurant,0.779389262
Resident,Apartment,0.779312849
Park,Lee Kun Young,0.77896589
Chungcheongnam-do,Bicycle,0.778922856
Progress,Use,0.778843641
Land,Banpo-myeon,0.778747737
Progress,Provide,0.778368294
School,Institution,0.778147995
Welfare,School,0.778022826
Business,Information,0.77800256
Management,Civil complaint,0.777905464
Interior,Schedule,0.777582705
Welfare,Rural,0.777535081
Tourism,Space,0.777406037
Plan,Development,0.777315974
Space,School,0.776896775
Photo,Korea,0.77673173
Life,Program,0.776638925
Building,Restaurant,0.776457965
Agriculture,Selection,0.776443243
Culture,Festival,0.776388705
Utilization,History,0.776271582
City,Capital,0.77608341
City,Daejeon,0.776060104
Public official,Civil complaint,0.776051879
Capital,Progress,0.775976002
Happiness,Group,0.77594322
Designation,Program,0.775559902
Park,Korea,0.775475144
Apartment,Selection,0.775320172
Welfare,Afternoon,0.77525872
Use,Evaluation,0.775101304
Nature,Provide,0.774934947
Experience,Visit,0.774920881
Magoksa temple,Journalist,0.774917126
Housing,Program,0.774603724
Welfare,Civil complaint,0.774339199
Nature,Korea,0.774307668
Evaluation,Civil complaint,0.774077833
Gongju,Capital,0.773860395
Village,Resident,0.773711264
Resource,Afternoon,0.773694158
Competition,Group,0.7735039
Service,Provide,0.773486912
Provide,Bicycle,0.773436844
Resident,Banpo-myeon,0.773335755
Gongju,Lee Kun Young,0.773210049
Land,Work,0.772940874
Chungcheongnam-do,Photo,0.772840083
Business,Price,0.772578657
City,Plan,0.772187471
Group,Representative,0.772115052
Land,Program,0.772105277
Space,Bicycle,0.772048533
Society,Provide,0.772025228
Shingwan-dong,Restaurant,0.771954656
Lee Kun Young,Provide,0.771942616
Banpo-myeon,Interior,0.771679997
Service,Program,0.771460116
Management,Installation,0.771449387
Capital,Visit,0.771377742
Business,Apartment,0.770731211
Tourism,Provide,0.770627499
Center,Apartment,0.770617127
Gyeryongsan mountain,Love,0.770583093
Gongju,Visit,0.770534039
Culture,Park,0.770463943
Welfare,Volunteer,0.770292342
Festival,Participation,0.770108342
Group,Restaurant,0.769877732
Market,Group,0.769535601
Photo,Geumgang river,0.76916945
Geumgang river,Bicycle,0.768958092
Journalist,Civil complaint,0.768912256
Business,Land,0.768617392
Citizen,Event,0.768578231
Market,Capital,0.76845777
Park,Journalist,0.768258274
Travel,School,0.768254101
Afternoon,Program,0.768179774
Competition,School,0.768134296
possibility,Evaluation,0.767979503
Korea,Use,0.767888606
Daejeon,Construction,0.767790616
Health,Group,0.767787516
Resource,Interior,0.767448127
Magoksa temple,Park,0.767372966
Housing,Price,0.767360926
History,Travel,0.767143667
Rural,Restaurant,0.767141581
Family,Afternoon,0.766958475
Land,Installation,0.766766787
Travel,Apartment,0.76661545
Market,Institution,0.766561925
possibility,City councilor,0.766507387
Agriculture,Civil complaint,0.766174436
Experience,Life,0.765814066
Progress,Nature,0.765671313
Agriculture,Restaurant,0.765548646
Chungcheongnam-do,Shingwan-dong,0.765415668
Culture,Creation,0.765132785
Festival,School,0.765103817
Housing,Interior,0.765101194
Experience,Rural,0.765098751
Installation,Use,0.765067041
Space,Restaurant,0.76480031
Love,Family,0.764612973
Management,Bicycle,0.764611602
Volunteer,Restaurant,0.76457566
Magoksa temple,Family,0.764512062
Gongsanseong fortress,Tourism,0.764445603
Event,Afternoon,0.764438868
Experience,Service,0.764184356
Capital,Building,0.764000237
Park,Tourism,0.76385361
Happiness,Environment,0.763800323
Participation,Institution,0.763738692
Capital,Lee Kun Young,0.763595819
Education,Life,0.76336211
Utilization,Space,0.763237834
Market,Visit,0.763171554
Market,Selection,0.763124406
Volunteer,City hall,0.763116479
Education,Public official,0.762807369
Competition,Program,0.76278919
Price,Designation,0.76270324
Volunteer,Group,0.76262027
Gapsa temple,Era,0.762546718
Utilization,Program,0.762495041
Culture,Space,0.762471735
Tourism,Bicycle,0.762416303
Space,Visit,0.762370706
Installation,Solar thermal power,0.762314975
Space,Service,0.762314141
Korea,Interior,0.762241244
Experience,Participation,0.762157679
Housing,Civil complaint,0.76205641
Interior,Selection,0.762044668
Visit,Society,0.762011826
Capital,Location,0.761621296
Activity,Apartment,0.761491597
Safety,Road,0.761450469
Price,Evaluation,0.761228204
Visit,Lee Kun Young,0.760901451
Society,Afternoon,0.760830224
Designation,Interior,0.760639131
Culture,Program,0.760475338
Culture,Capital,0.760348082
Welfare,Resource,0.760070205
Selection,Civil complaint,0.759784877
Capital,Korea,0.759719789
Progress,Rural,0.759665251
Gyeryongsan mountain,Civil complaint,0.759604633
Tourism,Development,0.759604156
Experience,Public official,0.759414494
Environment,Selection,0.75926435
Environment,Bicycle,0.759144425
Gongju,Restaurant,0.758642375
Geumgang river,Korea,0.758397877
Apartment,District,0.758306086
Society,Happiness,0.758169293
Competition,Afternoon,0.758117259
Capital,Tourism,0.758108974
Plan,Banpo-myeon,0.757946193
Solar thermal power,Representative,0.757729769
Rural,Society,0.757562876
Citizen,Restaurant,0.757502258
Daejeon,Civil complaint,0.757278562
Use,District,0.757231653
Public official,Program,0.757209361
possibility,Civil complaint,0.757046998
Gyeryongsan mountain,Apartment,0.756886721
Daejeon,Building,0.756829381
Bicycle,Representative,0.756765127
Representative,Program,0.756638706
Safety,Program,0.756605387
Installation,Restaurant,0.756578386
Resource,Public official,0.756506503
Happiness,Agriculture,0.756443441
School,Health,0.756441414
Participation,Banpo-myeon,0.756358445
Resident,Volunteer,0.75620997
Love,Afternoon,0.756193578
Tourism,Utilization,0.756069064
Work,Apartment,0.755918682
Park,Schedule,0.755895495
Volunteer,Provide,0.755814135
Use,Environment,0.755800843
Solar thermal power,Civil complaint,0.755777538
Road,Interior,0.755493224
Experience,Nature,0.755490661
Event,Group,0.755287707
Resource,Provide,0.755234599
Land,Restaurant,0.755068123
Rural,Afternoon,0.754933357
Capital,Seoul,0.754899383
Korea,Resource,0.754867256
Society,Restaurant,0.754677474
Administrative,Interior,0.754593372
Seoul,Travel,0.754486561
City,Construction,0.754437685
Resource,Apartment,0.75435853
Society,Volunteer,0.754228354
Land,Happiness,0.754217029
Capital,Provide,0.754096568
Participation,Visit,0.753733933
Chungcheongnam-do,Road,0.753595233
Capital,Nature,0.753533781
Safety,Management,0.753479362
Environment,Interior,0.753453374
Gongsanseong fortress,Korea,0.753394127
Service,Interior,0.75328356
Life,Restaurant,0.753249943
Designation,Civil complaint,0.753190756
Daejeon,Happiness,0.753187478
Seoul,School,0.753129661
Festival,Schedule,0.753069162
School,Selection,0.752947927
Gongju,Representative,0.752765596
Creation,Apartment,0.752638102
Gyeryongsan mountain,Seoul,0.752510905
Capital,Competition,0.752457857
Administrative,Happiness,0.752341092
Participation,Interior,0.752340019
Gongju,Apartment,0.752229631
Capital,Construction,0.752215087
Designation,Health,0.752135456
Work,Bicycle,0.751820147
Bicycle,Construction,0.751645863
Progress,City hall,0.751594961
Activity,City hall,0.75148344
Journalist,City hall,0.75142771
Safety,Apartment,0.751426995
Event,Participation,0.751326919
Welfare,Apartment,0.751321316
Love,Agriculture,0.751236796
Happiness,Resource,0.751131177
Photo,Event,0.750644565
Participation,Restaurant,0.750488222
Apartment,Public official,0.750446498
City,Banpo-myeon,0.750405312
Center,Interior,0.750401437
Geumgang river,Travel,0.750112891
Welfare,Provide,0.750105321
Institution,Restaurant,0.750088513
Plan,Evaluation,0.750082791
Schedule,Institution,0.750004828
Culture,Restaurant,0.749951184
Seoul,Civil complaint,0.749893069
Apartment,Information,0.749695122
Land,Housing,0.749688685
Capital,Designation,0.749603152
Plan,Designation,0.749509275
Resource,Institution,0.749498963
Service,Use,0.749450147
Safety,Bicycle,0.749167085
Event,Happiness,0.749157608
Apartment,City councilor,0.748994529
Target,Schedule,0.748969913
Travel,Civil complaint,0.748882115
Daejeon,Representative,0.748808026
Utilization,School,0.748306811
History,Representative,0.748285174
Use,Work,0.748234689
Park,Museum,0.748148322
Work,Civil complaint,0.748096526
Competition,Resource,0.747917652
Park,Happiness,0.747824669
City,Civil complaint,0.747716784
Service,Resource,0.747684896
Land,Space,0.747561872
Group,Afternoon,0.74754566
Space,Program,0.747518599
Happiness,Family,0.747496784
Baekje,Tourism,0.747411132
Road,Civil complaint,0.747317314
Visit,Program,0.747226179
Family,Resource,0.74721086
Park,Creation,0.747202456
Journalist,School,0.747158408
Gongsanseong fortress,Installation,0.746931612
Use,Selection,0.746860623
Service,Environment,0.746855915
Market,Center,0.746834099
Location,School,0.746727288
Target,Agriculture,0.746568739
Resource,Banpo-myeon,0.746567488
Evaluation,Interior,0.746538222
Land,Road,0.746506155
Gongsanseong fortress,Development,0.746459365
Provide,Public official,0.746385932
Installation,Civil complaint,0.746269107
Rural,Interior,0.746245623
Experience,Park,0.746134043
Price,School,0.746032715
Progress,Schedule,0.745933712
Market,Afternoon,0.745922685
Utilization,Civil complaint,0.74580121
Gongju,Chungcheongnam-do,0.745455384
Magoksa temple,Gapsa temple,0.745328546
Visit,Volunteer,0.745141804
Health,Bicycle,0.744888961
Administrative,Program,0.744859993
Capital,City councilor,0.744835615
Work,Schedule,0.744702458
Business,Agriculture,0.744595706
Experience,Education,0.744521499
Plan,Use,0.744507492
Lee Kun Young,School,0.744488418
Road,Construction,0.744363666
Gongsanseong fortress,Nature,0.744311512
Education,Use,0.744273245
Seoul,Shingwan-dong,0.744184315
Participation,Afternoon,0.74415344
Experience,Use,0.744036496
Life,Provide,0.743999302
Journalist,Volunteer,0.743770599
Photo,Park,0.743360221
Institution,Civil complaint,0.743258178
Information,Program,0.743040442
Geumgang river,Building,0.743034959
Daejeon,History,0.742981672
Housing,Utilization,0.742876351
Volunteer,Apartment,0.7427423
Gongju,Price,0.742738724
Agriculture,Representative,0.742655516
Housing,Target,0.742541313
Apartment,Representative,0.74250561
Administrative,Civil complaint,0.742451489
Development,Environment,0.742417037
Participation,Schedule,0.742165923
Chungcheongnam-do,Park,0.742088497
Plan,Capital,0.742030621
City hall,Representative,0.742000818
Selection,Restaurant,0.741979599
Designation,Banpo-myeon,0.741868138
Plan,Happiness,0.741863728
Photo,Family,0.741817653
Evaluation,Program,0.741806805
Schedule,Civil complaint,0.741762698
Citizen,Happiness,0.74157089
Gyeryongsan mountain,Magoksa temple,0.741502583
Culture,Competition,0.741425037
Plan,Environment,0.741135776
Life,Designation,0.741113722
City,Tourism,0.74081558
Visit,Restaurant,0.740767658
Lee Kun Young,Apartment,0.740690529
Park,Interior,0.740600586
Designation,Provide,0.740485966
Family,Banpo-myeon,0.74042511
Photo,Representative,0.74027431
Photo,Road,0.740116596
Life,Resource,0.740029871
Interior,Group,0.739972889
Park,Progress,0.739938498
Creation,Environment,0.739726186
Environment,Program,0.739691854
Baekje,Korea,0.739674568
Service,Life,0.739546299
Creation,Schedule,0.739272892
Village,Civil complaint,0.739208281
Utilization,Korea,0.739207029
Park,Participation,0.739099801
Happiness,Schedule,0.739098847
Solar thermal power,School,0.738961697
Korea,Banpo-myeon,0.738822043
Volunteer,Lee Kun Young,0.73844111
Gongsanseong fortress,Use,0.73829776
Chungcheongnam-do,Restaurant,0.738288164
Society,Civil complaint,0.738223732
